OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,Sales,Profit,Discount
10001,2021-04-13,West,Beauty,Perfume,8,1199.32,9594.56,853.96,0.1
10002,2021-08-03,East,Clothing,Dress,4,290.02,1160.08,246.77,0.2
10003,2021-09-15,West,Food,Beverages,5,1236.88,6184.4,1254.9,0.2
10004,2021-08-24,North,Electronics,Tablet,3,768.01,2304.03,681.55,0.0
10005,2021-05-11,North,Clothing,Dress,9,134.78,1213.02,348.41,0.15
10006,2021-01-14,South,Furniture,Chair,5,465.63,2328.15,256.69,0.15
10007,2021-09-21,East,Clothing,T-Shirt,4,368.56,1474.24,352.11,0.05
10008,2021-09-17,South,Beauty,Makeup,2,793.32,1586.64,446.9,0.15
10009,2021-07-09,West,Beauty,Nail Polish,2,1081.69,2163.38,425.51,0.0
10010,2021-09-09,West,Food,Dairy,9,596.07,5364.63,489.88,0.0
10011,2021-11-23,North,Electronics,Headphones,8,16.02,128.16,32.54,0.0
10012,2021-06-12,East,Electronics,Tablet,5,1852.97,9264.85,1971.28,0.15
10013,2021-05-15,North,Food,Beverages,1,131.8,131.8,16.84,0.2
10014,2021-04-09,West,Clothing,Jacket,1,768.94,768.94,225.24,0.1
10015,2021-09-14,North,Furniture,Sofa,9,1422.77,12804.93,995.23,0.15
10016,2021-06-28,East,Electronics,Headphones,4,1815.6,7262.4,815.73,0.2
10017,2021-05-23,East,Beauty,Haircare,7,583.05,4081.35,368.57,0.05
10018,2021-06-19,North,Electronics,Camera,6,915.79,5494.74,574.81,0.15
10019,2021-10-13,South,Clothing,Jeans,7,1792.7,12548.9,1625.09,0.0
10020,2021-10-10,South,Electronics,Headphones,9,613.04,5517.36,502.98,0.1
10021,2021-05-17,South,Beauty,Skincare,3,542.48,1627.44,180.7,0.1
10022,2021-06-09,West,Electronics,Headphones,1,134.46,134.46,15.26,0.15
10023,2021-10-22,South,Clothing,T-Shirt,5,573.26,2866.3,169.75,0.0
10024,2021-01-02,South,Food,Dairy,1,1270.53,1270.53,279.74,0.2
10025,2021-06-21,South,Food,Fruits,8,479.09,3832.72,889.4,0.2
10026,2021-04-08,South,Clothing,T-Shirt,9,644.96,5804.64,560.9,0.2
10027,2021-09-16,West,Food,Fruits,4,38.09,152.36,27.12,0.1
10028,2021-05-28,West,Food,Snacks,1,798.16,798.16,143.22,0.0
10029,2021-09-24,West,Electronics,Laptop,2,1849.76,3699.52,996.41,0.1
10030,2021-09-20,West,Furniture,Chair,4,1061.65,4246.6,469.09,0.15
10031,2021-02-06,West,Clothing,T-Shirt,9,701.67,6315.03,1461.86,0.1
10032,2021-06-01,South,Electronics,Headphones,1,327.45,327.45,89.93,0.15
10033,2021-09-11,East,Electronics,Tablet,9,15.1,135.9,12.26,0.05
10034,2021-07-13,South,Clothing,Dress,9,355.97,3203.73,174.66,0.2
10035,2021-10-31,West,Clothing,T-Shirt,1,1087.37,1087.37,192.69,0.2
10036,2021-02-20,South,Clothing,Jacket,2,703.41,1406.82,297.23,0.0
10037,2021-11-13,West,Clothing,Shoes,3,1538.27,4614.81,281.05,0.15
10038,2021-08-08,South,Beauty,Nail Polish,6,743.47,4460.82,240.28,0.2
10039,2021-10-29,North,Clothing,Shoes,1,155.32,155.32,19.64,0.0
10040,2021-09-13,East,Furniture,Chair,6,1393.58,8361.48,1609.71,0.05
10041,2021-10-15,East,Furniture,Sofa,2,648.49,1296.98,340.03,0.0
10042,2021-10-26,South,Beauty,Makeup,7,842.46,5897.22,672.59,0.2
10043,2021-11-12,South,Electronics,Headphones,4,1301.68,5206.72,1174.07,0.15
10044,2021-05-23,West,Furniture,Table,7,1345.69,9419.83,1243.78,0.05
10045,2021-03-04,South,Beauty,Makeup,6,504.25,3025.5,180.65,0.1
10046,2021-04-11,North,Beauty,Haircare,5,917.24,4586.2,1194.73,0.15
10047,2021-12-16,East,Clothing,Shoes,2,1035.02,2070.04,270.64,0.0
10048,2021-04-30,East,Clothing,Shoes,7,505.47,3538.29,339.97,0.0
10049,2021-05-09,South,Furniture,Chair,2,483.38,966.76,71.03,0.0
10050,2021-08-25,North,Electronics,Camera,7,1315.94,9211.58,1463.89,0.2
10051,2021-09-04,East,Food,Beverages,3,1516.9,4550.7,243.91,0.15
10052,2021-03-10,East,Electronics,Headphones,5,950.98,4754.9,354.04,0.2
10053,2021-02-08,West,Electronics,Camera,7,100.88,706.16,202.87,0.15
10054,2021-10-17,West,Furniture,Table,3,1008.76,3026.28,799.31,0.2
10055,2021-01-04,West,Furniture,Chair,4,1153.07,4612.28,678.2,0.15
10056,2021-02-02,North,Beauty,Perfume,5,1253.75,6268.75,1599.2,0.05
10057,2021-02-12,West,Beauty,Nail Polish,2,82.73,165.46,33.85,0.0
10058,2021-03-31,West,Beauty,Makeup,2,525.09,1050.18,182.74,0.05
10059,2021-04-24,North,Clothing,Dress,8,1471.47,11771.76,2953.18,0.0
10060,2021-06-13,South,Beauty,Skincare,8,1614.64,12917.12,3844.47,0.15
10061,2021-04-06,West,Beauty,Haircare,1,1361.29,1361.29,319.87,0.1
10062,2021-12-27,South,Electronics,Laptop,4,1653.78,6615.12,860.05,0.1
10063,2021-01-19,North,Food,Vegetables,9,1695.05,15255.45,2116.33,0.15
10064,2021-07-25,East,Food,Fruits,5,187.95,939.75,188.52,0.15
10065,2021-02-22,East,Electronics,Camera,5,991.37,4956.85,319.17,0.05
10066,2021-05-13,East,Beauty,Perfume,2,1937.46,3874.92,860.26,0.05
10067,2021-09-10,South,Beauty,Makeup,9,1644.61,14801.49,3353.43,0.2
10068,2021-01-29,North,Clothing,Dress,1,1761.32,1761.32,192.29,0.0
10069,2021-10-28,West,Food,Vegetables,3,1555.41,4666.23,884.72,0.1
10070,2021-07-21,South,Clothing,Jacket,2,939.98,1879.96,120.46,0.15
10071,2021-11-13,East,Electronics,Laptop,3,1168.82,3506.46,1018.78,0.15
10072,2021-11-08,North,Beauty,Makeup,5,91.58,457.9,128.74,0.15
10073,2021-08-17,West,Clothing,Jacket,4,155.49,621.96,56.94,0.0
10074,2021-01-14,East,Electronics,Camera,6,1170.71,7024.26,1933.71,0.0
10075,2021-01-12,South,Food,Vegetables,5,558.38,2791.9,270.9,0.05
10076,2021-05-16,South,Food,Beverages,5,1948.92,9744.6,2889.79,0.0
10077,2021-07-20,North,Beauty,Haircare,3,1645.96,4937.88,1419.39,0.2
10078,2021-10-30,North,Furniture,Table,8,1753.94,14031.52,2636.48,0.2
10079,2021-04-29,West,Electronics,Laptop,2,1974.62,3949.24,345.97,0.2
10080,2021-10-09,East,Electronics,Tablet,1,1677.47,1677.47,280.43,0.1
10081,2021-11-07,South,Food,Snacks,5,1999.44,9997.2,2990.75,0.2
10082,2021-01-23,North,Beauty,Nail Polish,3,498.46,1495.38,243.2,0.0
10083,2021-02-20,North,Beauty,Haircare,1,1345.04,1345.04,275.1,0.15
10084,2021-04-05,West,Furniture,Table,2,955.04,1910.08,492.5,0.05
10085,2021-09-25,North,Food,Dairy,9,1181.96,10637.64,1808.52,0.2
10086,2021-12-07,South,Furniture,Sofa,3,1806.79,5420.37,1107.47,0.05
10087,2021-10-21,South,Furniture,Table,3,1808.8,5426.4,743.76,0.0
10088,2021-12-01,West,Furniture,Sofa,1,1899.29,1899.29,164.8,0.0
10089,2021-11-26,North,Food,Vegetables,8,96.49,771.92,158.4,0.05
10090,2021-07-24,South,Clothing,Jacket,3,1076.84,3230.52,533.13,0.1
10091,2021-01-08,West,Food,Snacks,3,1749.26,5247.78,938.35,0.05
10092,2021-03-02,South,Clothing,Jacket,5,342.03,1710.15,204.62,0.2
10093,2021-01-22,North,Electronics,Camera,9,715.2,6436.8,1760.81,0.0
10094,2021-03-19,South,Beauty,Perfume,9,189.12,1702.08,289.84,0.1
10095,2021-11-15,West,Beauty,Skincare,4,1613.37,6453.48,1529.89,0.2
10096,2021-06-29,East,Furniture,Bed,7,1064.88,7454.16,1715.42,0.05
10097,2021-01-14,East,Clothing,Jacket,7,1025.8,7180.6,1314.25,0.2
10098,2021-10-01,South,Clothing,Jacket,9,1476.12,13285.08,1269.67,0.0
10099,2021-09-30,East,Furniture,Bed,9,1781.6,16034.4,3181.19,0.15
10100,2021-03-08,North,Beauty,Makeup,4,1076.53,4306.12,847.06,0.0
10101,2021-08-24,East,Furniture,Chair,5,729.35,3646.75,771.21,0.05
10102,2021-11-11,North,Beauty,Skincare,1,20.03,20.03,2.13,0.15
10103,2021-12-16,East,Electronics,Tablet,3,41.39,124.17,27.84,0.05
10104,2021-08-08,East,Food,Snacks,8,1447.18,11577.44,2954.74,0.05
10105,2021-12-01,East,Furniture,Sofa,5,378.15,1890.75,247.54,0.1
10106,2021-07-31,North,Food,Snacks,1,1223.19,1223.19,149.42,0.2
10107,2021-05-19,East,Food,Dairy,3,108.39,325.17,43.62,0.05
10108,2021-09-18,East,Furniture,Bed,2,648.1,1296.2,327.25,0.0
10109,2021-11-15,North,Electronics,Laptop,9,1193.3,10739.7,1803.13,0.1
10110,2021-04-04,East,Electronics,Camera,2,252.97,505.94,117.74,0.0
10111,2021-03-17,East,Clothing,T-Shirt,8,1444.59,11556.72,716.79,0.2
10112,2021-11-24,East,Electronics,Camera,3,332.71,998.13,253.17,0.1
10113,2021-03-19,South,Food,Snacks,9,1367.55,12307.95,2006.04,0.1
10114,2021-05-05,South,Electronics,Laptop,9,713.95,6425.55,950.15,0.05
10115,2021-11-05,West,Clothing,Jacket,6,1879.97,11279.82,2334.1,0.05
10116,2021-01-15,East,Beauty,Skincare,4,1484.21,5936.84,1147.52,0.2
10117,2021-02-07,North,Electronics,Camera,5,1558.25,7791.25,668.35,0.15
10118,2021-03-27,South,Furniture,Wardrobe,1,210.32,210.32,38.72,0.15
10119,2021-12-31,West,Food,Dairy,8,304.09,2432.72,261.06,0.15
10120,2021-06-22,South,Clothing,Jacket,3,1133.19,3399.57,778.65,0.1
10121,2021-03-10,West,Clothing,Jeans,8,1168.87,9350.96,1404.63,0.05
10122,2021-10-29,East,Food,Beverages,8,1014.25,8114.0,1646.03,0.15
10123,2021-06-20,West,Food,Vegetables,4,1581.22,6324.88,352.65,0.05
10124,2021-04-02,East,Furniture,Chair,6,159.26,955.56,72.68,0.0
10125,2021-08-02,East,Electronics,Camera,5,335.21,1676.05,161.87,0.0
10126,2021-01-01,East,Clothing,Dress,9,1489.78,13408.02,1359.51,0.0
10127,2021-04-27,South,Electronics,Tablet,4,1077.1,4308.4,1206.2,0.05
10128,2021-07-29,East,Furniture,Sofa,1,1176.2,1176.2,68.47,0.1
10129,2021-06-28,South,Electronics,Headphones,6,72.59,435.54,55.69,0.2
10130,2021-03-04,East,Furniture,Bed,2,1328.76,2657.52,251.16,0.15
10131,2021-12-27,North,Food,Vegetables,8,1006.88,8055.04,1601.71,0.2
10132,2021-08-03,East,Clothing,Jacket,1,77.92,77.92,13.09,0.1
10133,2021-01-18,North,Clothing,Jeans,2,1071.24,2142.48,364.8,0.1
10134,2021-11-15,West,Electronics,Camera,7,1892.5,13247.5,1898.73,0.05
10135,2021-06-11,West,Electronics,Headphones,2,1734.65,3469.3,527.32,0.0
10136,2021-09-04,East,Clothing,Dress,8,212.7,1701.6,425.36,0.1
10137,2021-02-20,North,Food,Beverages,3,490.13,1470.39,339.02,0.1
10138,2021-06-14,South,Beauty,Makeup,7,1268.32,8878.24,2077.3,0.2
10139,2021-05-27,West,Beauty,Perfume,4,1287.64,5150.56,1163.96,0.0
10140,2021-10-30,North,Food,Fruits,2,729.3,1458.6,85.41,0.15
10141,2021-09-18,North,Electronics,Smartphone,5,592.46,2962.3,850.52,0.15
10142,2021-10-07,North,Furniture,Sofa,7,1600.71,11204.97,1751.37,0.1
10143,2021-07-28,South,Electronics,Smartphone,9,519.49,4675.41,396.66,0.1
10144,2021-01-04,South,Furniture,Wardrobe,2,548.25,1096.5,59.87,0.05
10145,2021-05-08,North,Furniture,Bed,9,551.74,4965.66,936.25,0.0
10146,2021-03-17,East,Beauty,Makeup,6,278.09,1668.54,458.86,0.1
10147,2021-06-17,South,Food,Dairy,9,991.08,8919.72,1724.39,0.0
10148,2021-07-09,South,Furniture,Bed,6,1477.38,8864.28,626.7,0.15
10149,2021-10-09,North,Beauty,Perfume,8,877.2,7017.6,1957.06,0.1
10150,2021-10-22,West,Clothing,Jeans,7,1329.02,9303.14,2644.02,0.2
10151,2021-11-08,North,Furniture,Bed,4,328.22,1312.88,341.85,0.0
10152,2021-12-31,East,Furniture,Chair,2,217.66,435.32,29.94,0.0
10153,2021-05-09,North,Beauty,Perfume,8,872.48,6979.84,778.95,0.1
10154,2021-08-17,West,Food,Fruits,6,1182.51,7095.06,995.04,0.15
10155,2021-11-01,North,Electronics,Smartphone,9,894.78,8053.02,775.37,0.1
10156,2021-09-21,East,Beauty,Skincare,7,1449.59,10147.13,2123.87,0.0
10157,2021-03-30,West,Clothing,Jeans,9,1888.4,16995.6,1017.3,0.05
10158,2021-01-16,East,Electronics,Smartphone,5,949.05,4745.25,608.41,0.2
10159,2021-01-07,North,Clothing,Jeans,7,1591.71,11141.97,2632.47,0.15
10160,2021-04-13,North,Clothing,Shoes,2,1770.57,3541.14,646.49,0.05
10161,2021-07-02,East,Food,Snacks,4,1582.49,6329.96,820.92,0.05
10162,2021-06-10,West,Beauty,Makeup,2,53.68,107.36,28.72,0.1
10163,2021-09-04,North,Beauty,Makeup,3,144.71,434.13,22.74,0.2
10164,2021-11-14,North,Food,Snacks,8,547.02,4376.16,654.55,0.0
10165,2021-12-25,West,Beauty,Skincare,1,225.4,225.4,31.25,0.05
10166,2021-11-20,South,Beauty,Skincare,1,1821.13,1821.13,111.59,0.0
10167,2021-12-10,West,Food,Fruits,5,1573.76,7868.8,569.33,0.1
10168,2021-03-03,North,Furniture,Chair,7,1982.38,13876.66,1497.54,0.15
10169,2021-12-15,East,Beauty,Perfume,2,771.26,1542.52,91.29,0.05
10170,2021-09-16,West,Beauty,Nail Polish,6,1938.36,11630.16,3151.15,0.1
10171,2021-01-20,South,Electronics,Camera,3,1517.69,4553.07,1019.91,0.1
10172,2021-06-09,East,Beauty,Nail Polish,9,1187.92,10691.28,2085.03,0.05
10173,2021-09-24,North,Clothing,Jacket,9,93.53,841.77,221.43,0.05
10174,2021-01-09,East,Electronics,Camera,2,819.86,1639.72,234.76,0.1
10175,2021-06-25,South,Furniture,Wardrobe,5,1982.99,9914.95,648.23,0.2
10176,2021-08-12,South,Beauty,Perfume,3,698.88,2096.64,460.22,0.1
10177,2021-08-25,North,Clothing,Shoes,1,318.89,318.89,28.73,0.2
10178,2021-12-29,North,Electronics,Camera,4,1239.13,4956.52,1180.54,0.2
10179,2021-08-23,North,Furniture,Chair,3,1758.75,5276.25,270.6,0.1
10180,2021-06-07,East,Furniture,Bed,2,1665.11,3330.22,589.01,0.05
10181,2021-08-12,North,Clothing,T-Shirt,9,1265.47,11389.23,1309.2,0.15
10182,2021-12-10,North,Clothing,Jacket,7,1084.83,7593.81,2207.89,0.15
10183,2021-03-01,East,Beauty,Nail Polish,6,1874.77,11248.62,2496.87,0.05
10184,2021-11-20,East,Electronics,Headphones,6,1418.6,8511.6,1433.3,0.05
10185,2021-04-30,East,Furniture,Table,4,1296.91,5187.64,1030.26,0.15
10186,2021-01-07,North,Clothing,T-Shirt,6,746.81,4480.86,1141.26,0.1
10187,2021-02-27,East,Furniture,Table,2,1994.26,3988.52,624.38,0.2
10188,2021-02-08,East,Beauty,Nail Polish,4,1680.69,6722.76,1635.01,0.15
10189,2021-01-22,East,Clothing,Jacket,1,1926.66,1926.66,111.41,0.2
10190,2021-01-21,East,Beauty,Perfume,4,798.2,3192.8,378.52,0.1
10191,2021-09-14,South,Food,Beverages,3,67.11,201.33,42.87,0.15
10192,2021-10-01,East,Food,Fruits,8,322.7,2581.6,260.55,0.2
10193,2021-11-05,West,Clothing,Jeans,4,40.63,162.52,40.5,0.15
10194,2021-06-30,West,Food,Beverages,3,374.99,1124.97,186.21,0.0
10195,2021-08-24,West,Food,Snacks,6,454.95,2729.7,246.24,0.2
10196,2021-04-27,South,Clothing,Dress,1,28.18,28.18,1.92,0.05
10197,2021-04-05,South,Clothing,Dress,9,1720.94,15488.46,3794.1,0.1
10198,2021-08-02,East,Electronics,Laptop,9,1143.95,10295.55,562.05,0.15
10199,2021-05-28,North,Furniture,Table,1,1037.83,1037.83,74.69,0.2
10200,2021-03-18,West,Furniture,Table,6,1137.24,6823.44,1517.3,0.05
10201,2021-05-23,South,Furniture,Bed,1,1903.34,1903.34,154.28,0.1
10202,2021-01-09,South,Electronics,Laptop,2,1870.73,3741.46,1073.19,0.15
10203,2021-11-14,West,Clothing,Jacket,4,1108.24,4432.96,883.79,0.05
10204,2021-01-03,East,Electronics,Headphones,2,125.4,250.8,28.03,0.2
10205,2021-01-25,North,Clothing,Jeans,3,1951.85,5855.55,785.96,0.2
10206,2021-04-29,North,Clothing,Shoes,2,46.62,93.24,19.89,0.2
10207,2021-12-18,West,Electronics,Tablet,3,167.65,502.95,75.85,0.2
